Score report for run G

W    1 Answer key says      YES; system says  UNKNOWN
R    2 Answer key says      YES; system says      YES
R    3 Answer key says      YES; system says      YES
R    4 Answer key says      YES; system says      YES
W    5 Answer key says       NO; system says      YES
R    6 Answer key says      YES; system says      YES
W    7 Answer key says       NO; system says  UNKNOWN
R    8 Answer key says  UNKNOWN; system says  UNKNOWN
W    9 Answer key says       NO; system says      YES
W   10 Answer key says       NO; system says      YES
W   11 Answer key says      YES; system says  UNKNOWN
R   12 Answer key says      YES; system says      YES
R   13 Answer key says  UNKNOWN; system says  UNKNOWN
R   14 Answer key says      YES; system says      YES
W   15 Answer key says      YES; system says  UNKNOWN
W   16 Answer key says  UNKNOWN; system says      YES
W   17 Answer key says       NO; system says      YES
R   18 Answer key says  UNKNOWN; system says  UNKNOWN
W   19 Answer key says      YES; system says  UNKNOWN
W   20 Answer key says       NO; system says  UNKNOWN
W   21 Answer key says  UNKNOWN; system says      YES
R   22 Answer key says  UNKNOWN; system says  UNKNOWN
W   23 Answer key says      YES; system says  UNKNOWN
W   24 Answer key says      YES; system says  UNKNOWN
W   25 Answer key says      YES; system says  UNKNOWN
W   26 Answer key says       NO; system says  UNKNOWN
W   27 Answer key says       NO; system says      YES
R   28 Answer key says      YES; system says      YES
R   29 Answer key says  UNKNOWN; system says  UNKNOWN
W   30 Answer key says       NO; system says      YES
W   31 Answer key says      YES; system says  UNKNOWN
R   32 Answer key says  UNKNOWN; system says  UNKNOWN
W   33 Answer key says      YES; system says  UNKNOWN
R   34 Answer key says  UNKNOWN; system says  UNKNOWN
W   35 Answer key says      YES; system says  UNKNOWN
R   36 Answer key says      YES; system says      YES
R   37 Answer key says      YES; system says      YES
W   38 Answer key says  UNKNOWN; system says      YES
W   39 Answer key says  UNKNOWN; system says      YES
W   40 Answer key says      YES; system says  UNKNOWN
R   41 Answer key says      YES; system says      YES
W   42 Answer key says      YES; system says  UNKNOWN
W   43 Answer key says      YES; system says  UNKNOWN
R   44 Answer key says      YES; system says      YES
W   45 Answer key says  UNKNOWN; system says      YES
W   46 Answer key says      YES; system says  UNKNOWN
W   47 Answer key says      YES; system says  UNKNOWN
W   48 Answer key says       NO; system says  UNKNOWN
W   49 Answer key says      YES; system says  UNKNOWN
W   50 Answer key says  UNKNOWN; system says       NO
W   51 Answer key says       NO; system says  UNKNOWN
W   52 Answer key says      YES; system says  UNKNOWN
W   53 Answer key says      YES; system says  UNKNOWN
W   54 Answer key says       NO; system says      YES
W   55 Answer key says       NO; system says      YES
R   56 Answer key says  UNKNOWN; system says  UNKNOWN
W   57 Answer key says      YES; system says  UNKNOWN
W   58 Answer key says  UNKNOWN; system says      YES
W   59 Answer key says  UNKNOWN; system says      YES
W   60 Answer key says      YES; system says  UNKNOWN
W   61 Answer key says      YES; system says  UNKNOWN
W   62 Answer key says  UNKNOWN; system says      YES
W   63 Answer key says       NO; system says  UNKNOWN
R   64 Answer key says      YES; system says      YES
R   65 Answer key says      YES; system says      YES
W   66 Answer key says      YES; system says  UNKNOWN
W   67 Answer key says  UNKNOWN; system says      YES
W   68 Answer key says      YES; system says       NO
R   69 Answer key says      YES; system says      YES
W   70 Answer key says      YES; system says  UNKNOWN
R   71 Answer key says  UNKNOWN; system says  UNKNOWN
W   72 Answer key says      YES; system says  UNKNOWN
W   73 Answer key says  UNKNOWN; system says      YES
W   74 Answer key says      YES; system says  UNKNOWN
W   75 Answer key says      YES; system says  UNKNOWN
R   76 Answer key says      YES; system says      YES
R   77 Answer key says       NO; system says       NO
W   78 Answer key says      YES; system says       NO
R   79 Answer key says  UNKNOWN; system says  UNKNOWN
R   80 Answer key says      YES; system says      YES
W   81 Answer key says       NO; system says      YES
R   82 Answer key says      YES; system says      YES
W   83 Answer key says      YES; system says  UNKNOWN
W   84 Answer key says       NO; system says  UNKNOWN
W   85 Answer key says       NO; system says      YES
R   86 Answer key says      YES; system says      YES
W   87 Answer key says      YES; system says  UNKNOWN
W   88 Answer key says      YES; system says  UNKNOWN
W   89 Answer key says       NO; system says      YES
W   90 Answer key says       NO; system says  UNKNOWN
W   91 Answer key says      YES; system says  UNKNOWN
R   92 Answer key says  UNKNOWN; system says  UNKNOWN
W   93 Answer key says      YES; system says  UNKNOWN
R   94 Answer key says      YES; system says      YES
W   95 Answer key says      YES; system says  UNKNOWN
R   96 Answer key says      YES; system says      YES
W   97 Answer key says      YES; system says  UNKNOWN
W   98 Answer key says       NO; system says  UNKNOWN
W   99 Answer key says       NO; system says  UNKNOWN
R  100 Answer key says  UNKNOWN; system says  UNKNOWN
R  101 Answer key says  UNKNOWN; system says  UNKNOWN
R  102 Answer key says  UNKNOWN; system says  UNKNOWN
W  103 Answer key says  UNKNOWN; system says      YES
R  104 Answer key says  UNKNOWN; system says  UNKNOWN
R  105 Answer key says      YES; system says      YES
W  106 Answer key says      YES; system says  UNKNOWN
R  107 Answer key says      YES; system says      YES
W  108 Answer key says  UNKNOWN; system says      YES
R  109 Answer key says  UNKNOWN; system says  UNKNOWN
W  110 Answer key says      YES; system says  UNKNOWN
W  111 Answer key says       NO; system says  UNKNOWN
W  112 Answer key says      YES; system says  UNKNOWN
R  113 Answer key says      YES; system says      YES
R  114 Answer key says      YES; system says      YES
R  115 Answer key says  UNKNOWN; system says  UNKNOWN
R  116 Answer key says      YES; system says      YES
W  117 Answer key says      YES; system says  UNKNOWN
R  118 Answer key says      YES; system says      YES
W  119 Answer key says  UNKNOWN; system says      YES
W  120 Answer key says       NO; system says      YES
W  121 Answer key says      YES; system says  UNKNOWN
W  122 Answer key says      YES; system says  UNKNOWN
W  123 Answer key says      YES; system says  UNKNOWN
W  124 Answer key says       NO; system says  UNKNOWN
W  125 Answer key says       NO; system says  UNKNOWN
W  126 Answer key says      YES; system says  UNKNOWN
W  127 Answer key says       NO; system says  UNKNOWN
W  128 Answer key says      YES; system says  UNKNOWN
W  129 Answer key says      YES; system says  UNKNOWN
R  130 Answer key says  UNKNOWN; system says  UNKNOWN
W  131 Answer key says       NO; system says      YES
R  132 Answer key says      YES; system says      YES
R  133 Answer key says       NO; system says       NO
W  134 Answer key says       NO; system says  UNKNOWN
R  135 Answer key says  UNKNOWN; system says  UNKNOWN
R  136 Answer key says  UNKNOWN; system says  UNKNOWN
W  137 Answer key says      YES; system says       NO
W  138 Answer key says      YES; system says  UNKNOWN
W  139 Answer key says       NO; system says  UNKNOWN
R  140 Answer key says  UNKNOWN; system says  UNKNOWN
W  141 Answer key says       NO; system says  UNKNOWN
W  142 Answer key says  UNKNOWN; system says      YES
W  143 Answer key says  UNKNOWN; system says      YES
R  144 Answer key says      YES; system says      YES
W  145 Answer key says  UNKNOWN; system says      YES
R  146 Answer key says  UNKNOWN; system says  UNKNOWN
W  147 Answer key says  UNKNOWN; system says      YES
