Score report for run H

W    1 Answer key says      YES; system says  UNKNOWN
W    2 Answer key says      YES; system says  UNKNOWN
R    3 Answer key says      YES; system says      YES
W    4 Answer key says      YES; system says  UNKNOWN
W    5 Answer key says       NO; system says  UNKNOWN
W    6 Answer key says      YES; system says  UNKNOWN
W    7 Answer key says       NO; system says  UNKNOWN
R    8 Answer key says  UNKNOWN; system says  UNKNOWN
W    9 Answer key says       NO; system says  UNKNOWN
W   10 Answer key says       NO; system says  UNKNOWN
W   11 Answer key says      YES; system says  UNKNOWN
W   12 Answer key says      YES; system says  UNKNOWN
R   13 Answer key says  UNKNOWN; system says  UNKNOWN
R   14 Answer key says      YES; system says      YES
R   15 Answer key says      YES; system says      YES
R   16 Answer key says  UNKNOWN; system says  UNKNOWN
W   17 Answer key says       NO; system says  UNKNOWN
R   18 Answer key says  UNKNOWN; system says  UNKNOWN
W   19 Answer key says      YES; system says  UNKNOWN
W   20 Answer key says       NO; system says  UNKNOWN
R   21 Answer key says  UNKNOWN; system says  UNKNOWN
R   22 Answer key says  UNKNOWN; system says  UNKNOWN
W   23 Answer key says      YES; system says  UNKNOWN
W   24 Answer key says      YES; system says  UNKNOWN
R   25 Answer key says      YES; system says      YES
W   26 Answer key says       NO; system says  UNKNOWN
W   27 Answer key says       NO; system says  UNKNOWN
W   28 Answer key says      YES; system says  UNKNOWN
R   29 Answer key says  UNKNOWN; system says  UNKNOWN
W   30 Answer key says       NO; system says  UNKNOWN
W   31 Answer key says      YES; system says  UNKNOWN
R   32 Answer key says  UNKNOWN; system says  UNKNOWN
W   33 Answer key says      YES; system says  UNKNOWN
R   34 Answer key says  UNKNOWN; system says  UNKNOWN
W   35 Answer key says      YES; system says  UNKNOWN
R   36 Answer key says      YES; system says      YES
R   37 Answer key says      YES; system says      YES
R   38 Answer key says  UNKNOWN; system says  UNKNOWN
R   39 Answer key says  UNKNOWN; system says  UNKNOWN
W   40 Answer key says      YES; system says  UNKNOWN
R   41 Answer key says      YES; system says      YES
W   42 Answer key says      YES; system says  UNKNOWN
W   43 Answer key says      YES; system says  UNKNOWN
W   44 Answer key says      YES; system says  UNKNOWN
R   45 Answer key says  UNKNOWN; system says  UNKNOWN
W   46 Answer key says      YES; system says  UNKNOWN
W   47 Answer key says      YES; system says  UNKNOWN
W   48 Answer key says       NO; system says  UNKNOWN
W   49 Answer key says      YES; system says  UNKNOWN
R   50 Answer key says  UNKNOWN; system says  UNKNOWN
W   51 Answer key says       NO; system says  UNKNOWN
R   52 Answer key says      YES; system says      YES
W   53 Answer key says      YES; system says  UNKNOWN
W   54 Answer key says       NO; system says  UNKNOWN
W   55 Answer key says       NO; system says  UNKNOWN
R   56 Answer key says  UNKNOWN; system says  UNKNOWN
W   57 Answer key says      YES; system says  UNKNOWN
R   58 Answer key says  UNKNOWN; system says  UNKNOWN
W   59 Answer key says  UNKNOWN; system says      YES
W   60 Answer key says      YES; system says  UNKNOWN
W   61 Answer key says      YES; system says  UNKNOWN
R   62 Answer key says  UNKNOWN; system says  UNKNOWN
W   63 Answer key says       NO; system says  UNKNOWN
W   64 Answer key says      YES; system says  UNKNOWN
W   65 Answer key says      YES; system says  UNKNOWN
R   66 Answer key says      YES; system says      YES
R   67 Answer key says  UNKNOWN; system says  UNKNOWN
W   68 Answer key says      YES; system says  UNKNOWN
W   69 Answer key says      YES; system says  UNKNOWN
W   70 Answer key says      YES; system says  UNKNOWN
R   71 Answer key says  UNKNOWN; system says  UNKNOWN
W   72 Answer key says      YES; system says  UNKNOWN
R   73 Answer key says  UNKNOWN; system says  UNKNOWN
