"system","acc2gold","acc2bsl"
"NoAgent",0.5,0.27
"YesAgent",0.5,0.74
"auebnlp1-2w",0.57,0.75
"auebnlp1-3w",0.58,0.82
"auebnlp2-2w",0.58,0.77
"auebnlp2-3w",0.58,0.83
"auebnlp3-2w",0.57,0.79
"auebnlp3-3w",0.58,0.85
"biu1-2w",0.58,0.77
"biu2-2w",0.57,0.74
"biu3-2w",0.58,0.79
"boeing1-3w",0.52,0.31
"boeing2-3w",0.57,0.46
"boeing3-3w",0.55,0.58
"cambridge1-2w",0.51,0.61
"cambridge2-2w",0.52,0.58
"ceres1-2w",0.52,0.4
"ceres1-3w",0.53,0.39
"ceres2-3w",0.53,0.39
"clear1-2w",0.6,0.82
"clear2-2w",0.6,0.78
"clear3-2w",0.61,0.8
"dlsiuaes1-2w",0.61,0.83
"dlsiuaes2-2w",0.6,0.84
"dlsiuaes3-2w",0.59,0.8
"emory1-2w",0.59,0.78
"emory1-3w",0.58,0.85
"emory2-2w",0.57,0.76
"emory2-3w",0.58,0.84
"emory3-2w",0.51,0.75
"emory3-3w",0.56,0.81
"fbkirst1-2w",0.54,0.67
"fbkirst2-2w",0.55,0.73
"fbkirst3-2w",0.57,0.68
"fsc1-3w",0.53,0.62
"fsc2-2w",0.53,0.62
"iiitsum081-3w",0.53,0.35
"iiitsum082-3w",0.53,0.36
"ipd1-3w",0.51,0.54
"ipd2-3w",0.51,0.49
"ipd3-3w",0.54,0.43
"kunlp1-2w",0.51,0.43
"kunlp2-2w",0.52,0.43
"kunlp3-2w",0.5,0.46
"oaqa2-3w",0.54,0.78
"oaqa3-3w",0.55,0.51
"pemoza1-2w",0.56,0.71
"pemoza2-2w",0.59,0.75
"pemoza3-2w",0.59,0.81
"quanta1-3w",0.63,0.78
"quanta2-2w",0.62,0.77
"sagan1-3w",0.58,0.79
"sagan2-3w",0.57,0.81
"stanford1-3w",0.61,0.73
"stanford2-3w",0.57,0.7
"stanford3-3w",0.57,0.7
"umd1-3w",0.62,0.73
"umd2-3w",0.62,0.73
"umd3-3w",0.62,0.73
"uned1-2w",0.55,0.72
"uned2-2w",0.51,0.7
"uned3-2w",0.54,0.65
"uoeltg1-2w",0.58,0.75
"uoeltg2-2w",0.57,0.72
"uoeltg3-2w",0.52,0.62
"upc1-2w",0.56,0.67
"upc2-2w",0.55,0.64
"upc3-2w",0.56,0.65
"wlvuk1-2w",0.57,0.81
