tsname;subset;BAS (-SA);BAS (+SA);ML (NP, False);ML (NP, True);BSL (True);BSL (False)
tst1;cd;(53.658536585365859, 72.003431005509427, 27.333333333333332);(57.627118644067799, 77.360466926446122, 39.333333333333329);(69.491525423728817, 76.205488268326178, 39.333333333333329);(56.756756756756758, 75.396475984171147, 24.666666666666668);(55.932203389830505, 77.360466926446122, 39.333333333333329);(44.067796610169488, 77.360466926446122, 39.333333333333329)
dev1;cd;(40.0, 77.594093919949074, 30.612244897959183);(50.0, 84.920435951787169, 40.816326530612244);(65.0, 85.886362325469918, 40.816326530612244);(73.076923076923066, 85.194244687815441, 26.530612244897959);(67.5, 84.920435951787169, 40.816326530612244);(32.5, 84.920435951787169, 40.816326530612244)
tst1;ie;(42.857142857142854, 70.655646084371355, 17.5);(44.117647058823529, 53.122441055000948, 28.333333333333332);(38.095238095238095, 48.880055925659278, 17.5);(38.095238095238095, 48.323528875711169, 17.5);(52.941176470588239, 53.122441055000948, 28.333333333333332);(47.058823529411761, 53.122441055000948, 28.333333333333332)
dev1;ie;(66.666666666666657, 37.768616617300829, 12.857142857142856);(52.380952380952387, 38.119363275613274, 30.0);(66.666666666666657, 38.711013144062676, 12.857142857142856);(66.666666666666657, 37.90605958369116, 12.857142857142856);(38.095238095238095, 38.119363275613274, 30.0);(61.904761904761905, 38.119363275613274, 30.0)
tst1;mt;(36.363636363636367, 73.233038999550658, 18.333333333333332);(48.387096774193552, 74.707161354020428, 25.833333333333336);(40.909090909090914, 77.076430571115722, 18.333333333333332);(66.666666666666657, 75.079781320467532, 15.0);(67.741935483870961, 74.707161354020428, 25.833333333333336);(32.258064516129032, 74.707161354020428, 25.833333333333336)
dev1;mt;(68.421052631578945, 47.799686726317162, 35.185185185185183);(55.555555555555557, 38.02827380952381, 50.0);(63.157894736842103, 33.729296332397354, 35.185185185185183);(25.0, 30.130654369784803, 29.629629629629626);(29.629629629629626, 38.02827380952381, 50.0);(70.370370370370367, 38.02827380952381, 50.0)
tst1;pp;(64.285714285714292, 38.55820105820105, 28.000000000000004);(58.82352941176471, 39.586247086247091, 34.0);(41.17647058823529, 39.586247086247091, 34.0);(41.666666666666671, 42.003968253968246, 24.0);(35.294117647058826, 39.586247086247091, 34.0);(64.705882352941174, 39.586247086247091, 34.0)
dev1;pp;(43.589743589743591, 64.771528218716085, 47.560975609756099);(43.478260869565219, 55.001834963190454, 56.09756097560976);(47.826086956521742, 55.836173487323514, 56.09756097560976);(56.25, 56.275923485701249, 39.024390243902438);(56.521739130434781, 55.001834963190454, 56.09756097560976);(43.478260869565219, 55.001834963190454, 56.09756097560976)
tst1;qa;(43.478260869565219, 69.054977346353766, 17.692307692307693);(52.777777777777779, 68.831759725972248, 27.692307692307693);(39.130434782608695, 62.386419933721506, 17.692307692307693);(52.777777777777779, 59.09827476074534, 27.692307692307693);(61.111111111111114, 68.831759725972248, 27.692307692307693);(38.888888888888893, 68.831759725972248, 27.692307692307693)
dev1;qa;(50.0, 42.945607182283197, 20.0);(48.387096774193552, 49.694092573472723, 34.444444444444443);(50.0, 42.1194998834074, 20.0);(41.935483870967744, 41.234781480294352, 34.444444444444443);(41.935483870967744, 49.694092573472723, 34.444444444444443);(58.064516129032263, 49.694092573472723, 34.444444444444443)
tst1;rc;(35.135135135135137, 53.168883785816277, 26.428571428571431);(34.042553191489361, 43.766972109689696, 33.571428571428569);(34.042553191489361, 45.933974567054676, 33.571428571428569);(53.571428571428569, 48.419534092681609, 20.0);(57.446808510638306, 43.766972109689696, 33.571428571428569);(42.553191489361701, 43.766972109689696, 33.571428571428569)
dev1;rc;(59.523809523809526, 52.459378888833683, 40.776699029126213);(64.0, 68.252938065601327, 48.543689320388353);(56.000000000000007, 58.749660926922495, 48.543689320388353);(54.285714285714285, 63.554618249402871, 33.980582524271846);(52.0, 68.252938065601327, 48.543689320388353);(48.0, 68.252938065601327, 48.543689320388353)
